sample_type,classifier,feature,nan_count,nan_pct,inf_count,inactive_count,zero_proportion,variance,std_dev,is_constant,issues
person,Decision Tree,mean_activity_13,0,0.0,0,0,0.0,21426.036,146.376,False,OK
person,Decision Tree,mean_activity_14,0,0.0,0,0,0.0,22321.853,149.405,False,OK
person,Decision Tree,mean_activity_15,0,0.0,0,0,0.0,21373.545,146.197,False,OK
person,Decision Tree,mean_activity_16,0,0.0,0,0,0.0,20073.946,141.683,False,OK
person,Decision Tree,mean_activity_17,0,0.0,0,0,0.0,18582.033,136.316,False,OK
person,Decision Tree,mean_activity_18,0,0.0,0,0,0.0,17847.802,133.596,False,OK
person,Decision Tree,mean_activity_19,0,0.0,0,0,0.0,15760.794,125.542,False,OK
person,Decision Tree,mean_activity_20,0,0.0,0,0,0.0,15111.589,122.929,False,OK
person,Decision Tree,mean_activity_21,0,0.0,0,0,0.0,12998.913,114.013,False,OK
person,Decision Tree,mean_activity_22,0,0.0,0,0,0.0,13860.108,117.729,False,OK
person,Decision Tree,mean_activity_23,0,0.0,0,0,0.0,9898.042,99.489,False,OK
person,Decision Tree,inactive_ratio,0,0.0,0,0,0.0,0.019,0.139,False,OK
person,Decision Tree,longest_inactivity,0,0.0,0,0,0.0,161542.938,401.924,False,OK
person,Decision Tree,is_constant_activity,0,0.0,0,54,1.0,0.0,0.0,True,"Constant, Mostly zero"
person,Decision Tree,12_hour_day_activity,0,0.0,0,0,0.0,14863.874,121.917,False,OK
person,Decision Tree,12_hour_night_activity,0,0.0,0,0,0.0,3184.497,56.431,False,OK
person,Decision Tree,day_night_ratio,0,0.0,0,0,0.0,1.928,1.389,False,OK
person,Decision Tree,mean_absolute_change_activity,0,0.0,0,0,0.0,1519.383,38.979,False,OK
person,Decision Tree,IV,0,0.0,0,0,0.0,0.033,0.182,False,OK
person,Decision Tree,RA,0,0.0,0,0,0.0,0.017,0.129,False,OK
person,Decision Tree,daily_mean_activity_variance,0,0.0,0,0,0.0,98069484.157,9903.004,False,OK
person,Decision Tree,IS,0,0.0,0,0,0.0,0.027,0.164,False,OK
person,Decision Tree,activity_night,0,0.0,0,0,0.0,1153.607,33.965,False,OK
person,Decision Tree,activity_morning,0,0.0,0,0,0.0,10827.953,104.057,False,OK
person,Decision Tree,activity_afternoon,0,0.0,0,0,0.0,17990.304,134.128,False,OK
person,Decision Tree,activity_evening,0,0.0,0,0,0.0,11274.88,106.183,False,OK
person,Decision Tree,inactive_night,0,0.0,0,0,0.0,0.037,0.193,False,OK
person,Decision Tree,inactive_morning,0,0.0,0,1,0.019,0.032,0.178,False,OK
person,Decision Tree,inactive_afternoon,0,0.0,0,1,0.019,0.02,0.14,False,OK
person,Decision Tree,inactive_evening,0,0.0,0,1,0.019,0.028,0.169,False,OK
person,Decision Tree,person_id,0,0.0,0,0,0.0,74.329,8.621,False,OK
